"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN25LA094","ACC","199681","2025-02-05T19:48:00Z","Pine Bluff","Arkansas","United States",,"N138TL","TJ-362","false","Aviation","",,,"Minor","0","0","1","1","0",,,,"34.172511999999998","-91.935368999999994","BEECH","58P","AIR",,,"false","2",,,"BUS","091","Substantial","IMC","HARVEST INTERNATIONAL MINISTRIES INC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199681/pdf"
"WPR25LA089","ACC","199680","2025-02-01T10:30:00Z","Daggett","California","United States",,"N466TM","57-466","false","Aviation","",,,"Serious","0","2","0","2",,,,,"35.100116","-116.90367999999999","LOCKHEED","C-130A","AIR",,,"false","4",,,"UNK","091","None","VMC","T B M INC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199680/pdf"
"ERA25MA106","ACC","199630","2025-01-31T19:07:00Z","Philadelphia","Pennsylvania","United States",,"XA-UCI","032","false","Aviation","",,,"Fatal","7","4","20","6","25",,,,"40.046461000000001","-75.057582999999994","LEARJET","55","AIR","PNE","Northeast Philadelphia Airport","false","2",,,"BUS","129","Destroyed","IMC","Med Jets, S.A. DE C.V.","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199630/pdf"
"DCA25MA108","ACC","199620","2025-01-29T21:48:00Z","Washington","District of Columbia","United States",,"N709PS, UNREG","10165, ","true","Aviation","",,,"Fatal","67","0","0","67",,,,,"38.845339000000003","-77.024186999999998","BOMBARDIER INC, SIKORSKY","CL-600-2C10, UH60","AIR, HELI",,,"false, false","2",,"SCHD, NSCH",,"121, ARMF","Destroyed, Destroyed","VMC","PSA Airlines, Army Department of Defense","Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199620/pdf"
"CEN25LA087","ACC","199592","2025-01-22T23:50:00Z","Arcola","Texas","United States",,"N44BN","K077","false","Aviation","DirectorBrief","2025-03-20T04:00:00Z","2025-03-20T18:00:00Z","None","0","0","0","0","0","The pilot’s failure to extend the airplane’s landing gear before landing.","Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot, Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Not used/operated",,"29.506209999999999","-95.476695000000007","EPIC AIRCRAFT LLC","E1000","AIR","AXH","Houston Southwest Airport","false","1","TP",,"BUS","091","Substantial","VMC",,"Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=199592","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199592/pdf"
"ERA25LA104","ACC","199597","2025-01-17T21:25:00Z","Smyrna","Tennessee","United States",,"N21254","18261519","false","Aviation","",,,"None","0","0","0","0","0",,,,"36.015385999999999","-86.526047000000005","CESSNA","182P","AIR","MQY","SMYRNA","false","1",,,"BUS","091","Substantial","VMC",,"Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199597/pdf"
"CEN25LA081","ACC","199566","2025-01-16T16:30:00Z","Bentonville","Arkansas","United States",,"N6799P","24-1932","false","Aviation","",,,"Serious","0","1","1","2","0",,,,"36.355500999999997","-94.223123000000001","PIPER","PA-24-250","AIR","VBT","BENTONVILLE MUNI/LOUISE M THADEN FLD","false","1",,,"FERY","091","Substantial","VMC",,"Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199566/pdf"
"ANC25LA016","ACC","199529","2025-01-10T13:55:00Z","Fairbanks","Alaska","United States",,"N59826","31-7652077","false","Aviation","",,,,,,,,,,,,"64.813417000000001","-147.85321999999999","PIPER","PA-31-350","AIR","FAI",,"false","2",,"NSCH",,"135","Substantial","VMC","Gregory Probst","Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199529/pdf"
"WPR25LA077","INC","199536","2025-01-09T13:38:00Z","Los Angeles","California","United States",,"C-GQBE, Unknown","2017","false","Aviation","",,,"None","0","0","0","0",,,,,"34.209806","-118.48997","Bombardier Inc., Canadair, Unknown","CL-215-6B11, Unknown","AIR, UNMANNED","VNY","VAN NUYS","false, false","2, 4",,,"FIRF, UNK","PUBU, UNK","Minor, Destroyed","VMC","Gouvernement du Québec, Service aérien gouvernemental, Unknown","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199536/pdf"
"WPR25LA074","ACC","199517","2025-01-06T15:30:00Z","Red Rock","Montana","United States",,"N4644Y","18-8945","false","Aviation","",,,,"0","0","0","0",,,,,"44.88288","-112.71296","PIPER","PA-18-150","AIR",,,"false","1",,,"PUBS","PUBU","Substantial",,"STATE OF MONTANA","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199517/pdf"
"ERA25LA091","ACC","199510","2025-01-05T18:00:00Z","Marion","Ohio","United States",,"N18JC","1719","false","Aviation","",,,"None","0","0","0","0",,,,,"40.617134999999998","-83.060952999999998","HELIO","HT-295","AIR","MNN","Marion Municipal","false","1",,,"POSI","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199510/pdf"
"ANC25LA015","ACC","199505","2025-01-03T18:51:00Z","Nightmute","Alaska","United States",,"N916RK","GA8-12-176","false","Aviation","",,,"None","0","0","0","0",,,,,"60.472312000000002","-164.69980000000001","GIPPSAERO PTY LTD","GA8","AIR","AGT","Nightmute AIrport","false","1",,"SCHD",,"135","Substantial","VMC",,"Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199505/pdf"
"CEN25LA070","ACC","199509","2025-01-02T19:54:00Z","Stringtown","Mississippi","United States",,"N438SW","7574","false","Aviation","DirectorBrief","2025-02-21T05:00:00Z","2025-02-21T19:00:00Z","None","0","0","0","0","0","Bird strike.","Environmental issues - Physical environment - Object/animal/substance - Animal(s)/bird(s) - Effect on equipment",,"33.571986000000003","-90.982266999999993","BOMBARDIER INC","CL-600-2B19","AIR","GLH","Greenville MId-Delta","false","2","TF","NSCH",,"135","Substantial","VMC","CORPORATE FLIGHT MANAGEMENT INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=199509","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199509/pdf"
"ERA25FA086","ACC","199492","2024-12-30T16:15:00Z","Peebles","Ohio","United States",,"N6979T","39279","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"38.994611999999996","-83.426638999999994","CESSNA","310","AIR",,,"false","2",,,"FERY","091","Substantial","VMC",,"Unknown","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199492/pdf"
"ANC25LA011","ACC","199457","2024-12-21T00:15:00Z","Honolulu","Hawaii","United States",,"N438CA","LJ-1541","false","Aviation","",,,"None","0","0","0","0",,,,,"21.32","-157.91","RAYTHEON AIRCRAFT COMPANY","C90A","AIR","HNL",,"false","2",,"NSCH","OWRK","135","Substantial","VMC","GUARDIAN FLIGHT LLC","Standing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199457/pdf"
"ERA25LA079","ACC","199445","2024-12-18T17:30:00Z","Big Cypress","Florida","United States",,"N8516V","504-4055","false","Aviation","",,,"Minor","0","0","1","1","0",,,,"26.33774","-81.016756999999998","AIR TRACTOR","AT504","AIR",,,"false","1",,,"FERY","091","Substantial","VMC","Servicios Aeronauticos Airtech Limitada","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199445/pdf"
"DCA25LA061","ACC","199449","2024-12-18T17:00:00Z","St. Mary's","Alaska","United States",,"N403LC","4590","false","Aviation","",,,"None","0","0","0","0",,,,,"62.097638000000003","-162.60059999999999","LOCKHEED","382G-44K-30","AIR",,,"false","4",,"NSCH",,"121","Substantial","VMC","LYNDEN AIR CARGO LLC","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199449/pdf"
"CEN25LA060","ACC","199415","2024-12-11T16:00:00Z","Victoria","Texas","United States",,"N818BR","318152102","false","Aviation","DirectorBrief","2025-01-21T05:00:00Z","2025-01-21T18:00:00Z","Serious","0","1","4","1","4","The pilot’s inadequate preflight planning and preflight inspection, which resulted in a total loss of engine power due to fuel exhaustion.","Personnel issues - Task performance - Planning/preparation - Fuel planning - Pilot, Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Personnel issues - Task performance - Inspection - Preflight inspection - Pilot",,"28.853376000000001","-96.970444999999998","PIPER","PA-31-350","AIR","VCT","VICTORIA RGNL","false","2","REC",,"AOBV","091","Substantial","VMC",,"Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=199415","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199415/pdf"
"ERA25LA073","ACC","199408","2024-12-11T03:30:00Z","Atlanta","Georgia","United States",,"N981AG","560-0466","false","Aviation","",,,"None","0","0","0","0","0",,,,"33.651195999999999","-84.422137000000006","CESSNA","560","AIR","ATL","Hartsfield/Jackson Atlanta International Airport","false","2",,"NSCH","POSI","091","Substantial","IMC","Aitheras Aviation group, LLC","Standing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199408/pdf"
"ERA25LA060","ACC","195551","2024-11-25T19:26:00Z","Boston","Massachusetts","United States",,"N651CA","039/US","false","Aviation","",,,"None","0","0","0","0",,,,,"42.364193","-71.015271999999996","COSTRUZIONI AERONAUTICHE TECNA","P2012 TRAVELLER","AIR","BOS","GENERAL EDWARD LAWRENCE LOGAN INTL","false","2",,"SCHD","UNK","135","Substantial","VMC","HYANNIS AIR SERVICE INC","Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195551/pdf"
"CEN25FA047","ACC","195539","2024-11-23T12:15:00Z","Drake","Colorado","United States",,"N434CP","18282192","false","Aviation","",,,"Fatal","2","1","0","3",,,,,"40.441487000000002","-105.30918","CESSNA","182T","AIR",,,"false","1",,,"PUBF","PUBU","Destroyed","VMC","CIVIL AIR PATROL","Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195539/pdf"
"DCA25LA045","ACC","195538","2024-11-20T19:46:00Z","Warnock","Ohio","United States",,"N85352","17000673","false","Aviation","",,,"Serious","0","2","0","2",,,,,"40","-81","EMBRAER S A","ERJ 170-200 LR","AIR",,,"false","2",,"SCHD",,"121","None",,"Mesa Airlines","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195538/pdf"
"WPR25LA045","ACC","195537","2024-11-17T10:45:00Z","Jackson","Wyoming","United States",,"N247QS","6171","false","Aviation","",,,"None","0","0","0","0",,,,,"43","-110","BOMBARDIER INC","CL-600-2B16","AIR","KJAC",,"false","2",,,,"091K","Substantial","VMC","NETJETS SALES INC","Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195537/pdf"
"ERA25LA068","ACC","199390","2024-11-15T17:39:00Z","Daytona Beach","Florida","United States",,"N508PA","42.AC079","false","Aviation","",,,"None","0","0","0","0","0",,,,"29.176646000000002","-81.065988000000004","DIAMOND AIRCRAFT IND GMBH","DA 42 NG","AIR","DAB","DAYTONA BEACH INTL","false","2",,,"FERY","091","Substantial","VMC","Phoenix East Aviation","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/199390/pdf"
"WPR25LA038","ACC","195495","2024-11-15T10:03:00Z","Boulder City","Nevada","United States",,"N241SA","556","false","Aviation","",,,"None","0","0","0","0",,,,,"35.947499999999998","-114.86111","DEHAVILLAND","DHC-6-300","AIR","BVU","BOULDER CITY MUNI","false","2",,"NSCH","OWRK","135","Substantial","VMC","Grand Canyon Airlines, Inc.","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195495/pdf"
"ERA25LA043","ACC","195478","2024-11-09T12:04:00Z","Alcoa","Tennessee","United States",,"N143MG","310K0134","false","Aviation","",,,"None","0","0","0","0",,,,,"35.811090999999998","-83.994067000000001","CESSNA","310K","AIR","TYS","McGhee Tyson Airport","false","2",,,"BUS","091","Substantial","VMC",,"Taxi","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195478/pdf"
"ANC25LA008","ACC","195428","2024-11-02T14:36:00Z","Anchorage","Alaska","United States",,"N55PK","CC18-0096","false","Aviation","",,,"Serious","0","1","0","1",,,,,"61.186400999999996","-149.96498","CUB CRAFTERS INC","CC18-180","AIR","PALH","Lake Hood Airport","false","1",,,"PUBU","091","Substantial","VMC","US DEPARTMENT OF THE INTERIOR","Takeoff","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195428/pdf"
"CEN25LA028","ACC","195379","2024-10-26T14:40:00Z","Rose Hill","Kansas","United States",,"N8883X","18266014","false","Aviation","",,,"Fatal","1","0","0","1",,,,,"37.565389000000003","-97.174610999999999","CESSNA","182Q","AIR","K50","Rose Hill Cook Field","false","1",,,"SKYD","091","None","VMC",,"Standing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195379/pdf"
"CEN25LA017","ACC","195336","2024-10-16T17:00:00Z","Shreveport","Louisiana","United States",,"N4203A","TH-22","false","Aviation","DirectorBrief","2024-11-19T05:00:00Z","2024-11-19T19:00:00Z","None","0","0","0","0","0","The pilot’s inadvertent failure to lower the landing gear before touching down.","Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Not used/operated, Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot",,"32.540821999999999","-93.743835000000004","BEECH","58","AIR","DTN","Shreveport Downtown","false","2","REC",,"EXEC","091","Substantial","VMC","GULF STATES AIR INC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195336","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195336/pdf"
"CEN25LA008","ACC","195281","2024-10-08T14:00:00Z","Inguadona","Minnesota","United States",,"N212FB","802A-0368","false","Aviation","DirectorBrief","2025-01-21T05:00:00Z","2025-01-21T18:00:00Z","None","0","0","0","0","0","The pilot’s failure to properly configure the landing gear on the amphibious airplane before a water landing.","Personnel issues - Task performance - Use of equip/info - Use of equip/system - Pilot, Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Incorrect use/operation",,"46.954186999999997","-94.130431999999999","AIR TRACTOR INC","AT-802A","AIR",,,"false","1","TP",,"FIRF","137","Substantial","VMC","AERO SPRAY INC","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195281","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195281/pdf"
"WPR25LA011","ACC","195296","2024-10-08T11:00:00Z","Corcoran","California","United States",,"N243LA","502B-3020","false","Aviation","",,,"None","0","0","0","0",,,,,"36.101728999999999","-119.59356","AIR TRACTOR INC","AT-502B","AIR","43CN","CORCORAN","false","1",,,,"137","Substantial",,"H & G FARMS INC","Unknown","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195296/pdf"
"WPR25LA008","ACC","195284","2024-10-08T07:45:00Z","Marana","Arizona","United States",,"N9928P","36-7560039","false","Aviation","",,,"None","0","0","0","0",,,,,"32.393189999999997","-111.16021000000001","PIPER","PA-36-285","AIR",,,"false","1",,,"AAPL","137","Substantial","VMC",,"Maneuvering","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195284/pdf"
"CEN25FA006","ACC","195272","2024-10-07T19:39:00Z","Norfolk","Nebraska","United States",,"N130GP","U-222","false","Aviation","",,,"Fatal","1","0","0","1","0",,,,"41.973855999999998","-97.432559999999995","BEECH","C99","AIR","OFK","NORFOLK RGNL/KARL STEFAN MEML FLD","false","2",,"NSCH","BUS","135","Destroyed","VMC","UAS TRANSERVICES INC","Unknown","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195272/pdf"
"DCA25LA001","INC","195262","2024-10-05T15:10:00Z","Las Vegas","Nevada","United States",,"N701FR","6793","false","Aviation","",,,"None","0","0","0","0","0",,,,"36.080044000000001","-115.15223","AIRBUS","A321-211","AIR","LAS","HARRY REID INTL","false","2",,"SCHD",,"121","Unknown","VMC","Frontier Airlines","Enroute","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195262/pdf"
"CEN25LA002","ACC","195238","2024-10-01T16:20:00Z","Moffett","Oklahoma","United States",,"N45472","402A-0794","false","Aviation","",,,,,,,,,,,,"35.390388000000002","-94.438095000000004","AIR TRACTOR INC","AT-402A","AIR",,,"false","1",,,"AAPL","137","Substantial",,"ALLARD EVAN WADE DBA","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195238/pdf"
"CEN24LA378","ACC","195234","2024-09-30T16:30:00Z","Caro","Michigan","United States",,"N31407",,"false","Aviation","",,,"None","0","0","0","0",,,,,"43.457653999999998","-83.446126000000007","PIPER","PA32","AIR","CFS",,"false",,,,"OWRK","091","Substantial","VMC",,"Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195234/pdf"
"OPS24LA045","INC","195365","2024-09-29T19:48:00Z","Brunswick","Georgia","United States",,"N70FC","525B-0339","false","Aviation","",,,"None","0","0","0","0",,,,,"31.260000000000002","-81.469999999999999","CESSNA","525","AIR","KBQK","Brunswick Golden Isles Airport","false","2",,"NSCH",,"135","None","VMC","Mountain Aviation LLC","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195365/pdf"
"CEN24LA370","ACC","195215","2024-09-26T13:23:00Z","Muskogee","Oklahoma","United States",,"N6548Z","25-2090","false","Aviation","DirectorBrief","2024-12-02T05:00:00Z","2024-12-02T18:00:00Z","None","0","0","0","0","0","The pilot’s inattention to refueling during turn-around operations which resulted in a loss of engine power due to fuel exhaustion.","Aircraft - Fluids/misc hardware - Fluids - Fuel - Fluid level, Environmental issues - Physical environment - Object/animal/substance - Tree(s) - Contributed to outcome, Personnel issues - Action/decision - Action - Lack of action - Pilot",,"35.578055999999997","-95.185556000000005","PIPER","PA-25-235","AIR",,,"false","1","REC",,"AAPL","137","Substantial","VMC",,"Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195215","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195215/pdf"
"DCA24LA318","INC","195210","2024-09-25T15:26:00Z","Chicago","Illinois","United States",,"N772MR","17000092","false","Aviation","",,,"None","0","0","0","0",,,,,"41.982227000000002","-87.908828","EMBRAER","ERJ 170-100 LR","AIR","ORD","CHICAGO O'HARE INTL","false","2",,"SCHD",,"121","None","VMC","Envoy Air Inc.","Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195210/pdf"
"ANC24FA102","ACC","195193","2024-09-24T14:45:00Z","Chalkyitsik","Alaska","United States",,"N8255Q","U20603116","false","Aviation","",,,"Fatal","1","0","0","1",,,,,"66.784794000000005","-144.33514","CESSNA","206","AIR",,,"false","1",,,"OWRK","091","Substantial","VMC","KAVIK AVIATION SERVICES LLC","Initial Climb","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195193/pdf"
"WPR24LA311","ACC","195188","2024-09-23T13:00:00Z","Grand View","Idaho","United States",,"N30YC","CC11-00442","false","Aviation","DirectorBrief","2025-03-13T04:00:00Z","2025-03-13T18:00:00Z","None","0","0","0","0",,"The pilot’s loss of control after encountering a dust devil during taxi.","Environmental issues - Conditions/weather/phenomena - Wind - Dust devil/whirlwind - Effect on operation, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Attain/maintain not possible",,"42.989600000000003","-116.0934","CUB CRAFTERS","CC11","AIR",,,"false","1","REC",,"AOBV","091","Substantial","VMC",,"Taxi","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195188","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195188/pdf"
"CEN24LA364","ACC","195162","2024-09-21T09:15:00Z","LaPlace","Louisiana","United States",,"N6565","722","false","Aviation","DirectorBrief","2025-01-10T05:00:00Z","2025-01-10T18:00:00Z","None","0","0","0","0","0","Total loss of engine power during the agricultural application flight for reasons that could not be determined.","Not determined - Not determined - (general) - (general) - Unknown/Not determined",,"30.063500000000001","-90.456699999999998","GRUMMAN","G-164A","AIR","N/A","N/A","false","1","REC",,"AAPL","137","Substantial","VMC","AG AIR INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=195162","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/195162/pdf"
